Label,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
0,50,64.57,64.7,65.33,65.3,65.96,65.8,66.61,66.5,68.31,70.11,67.58,68.06,1.05E-46,2.73E-46,2.91E-46,6.69E-46,9.85E-47,2.89E-46,6.21E-47,4.50E-46,1.68E-45,3.46E-46,1.68E-45,3.87E-45,3.10E-45,0,0,65.1,64.4,64.9,64.1,0,81.3,16.3,71.5,6.8,0,0,0,0,0,23.27,1,29,107.3,87.3,60.1,0,0.6,0,0,0,100,100,57,56,0,67.4,70.52,68.97,71.49,2.10E-45,5.91E-46,2.12E-47
0,50,64.61,64.7,65.33,65.1,65.96,65.8,66.66,66.7,68.31,70.15,67.58,68.1,1.12E-46,2.66E-46,2.98E-46,6.76E-46,9.32E-47,2.89E-46,6.74E-47,4.50E-46,1.68E-45,3.28E-46,1.68E-45,3.87E-45,3.10E-45,0.4,0,65,64.3,64.9,64.1,0,81.3,16.5,71.7,6.6,0,0,0,0,0,23.27,1,29,106.9,87.3,59.6,0,0.8,0,0,0,100,100,57,56,30,67.4,70.56,68.97,71.49,2.02E-45,6.42E-46,1.07E-46
0,50,64.61,65.8,65.37,65.4,66,67.6,66.61,66.4,68.31,70.15,67.58,68.1,6.448,17.82,19.44,43.72,4.234,12.21,2.898,19.35,1.68E-45,14.89,3.97E-46,252.8,133.2,0.2,1,65.1,64.4,67.4,67.5,0,81.3,16.1,71.5,4.1,2.7,0,0,-7.786,-34.34,23.27,6,0,106.7,87.3,59.6,0,0,0.4,0,0,100,100,57,56,30,67.4,70.56,69.75,71.13,135.2,50.6,94
0,50,64.86,67.3,65.37,65.9,66.33,66.8,66.66,67.3,68.23,69.74,67.58,68.02,3.634,17.52,16.95,38.1,4.391,18.68,3.737,26.81,1.68E-45,15.44,3.83E-46,267.8,203.6,0,0,66.8,66.7,66.6,66.5,0,81.7,14.9,71.7,4.9,0,0,0,2.662,20.84,23.27,6,0,106.7,87.3,62.6,0,0.5,1.2,0,0,100,100,57,56,30,67.4,70.4,70.08,70.06,140.1,89.69,-27.33
0,50,65.27,66.4,65.62,66.5,66.45,66.5,66.82,66.7,67.98,69.09,67.29,67.57,4.095,12.96,12.39,29.44,3.149,14.86,2.462,20.47,1.68E-45,11.07,5.34E-46,268.1,213.6,0.9,0,65.6,65.1,66.3,66.5,0,82,16.4,71.5,5.4,1.6,0,0,-3.327,-23.11,23.27,6,0,106.3,87.3,60.1,0,0,0,0,0,100,100,57,56,30,67.4,69.7,69.01,69.24,134.9,59.08,-53.37
0,50,65.47,66.5,65.99,66.2,66.53,67,66.86,67,67.86,68.43,66.96,67.36,3.639,11.13,6.447,21.22,4.618,8.681,3.564,16.86,1.68E-45,16.24,3.64E-46,268.1,214.1,0.4,0,65.8,65.3,67,67,0,82.2,16.2,71.5,4.7,0.9,0,0,3.442,26.91,23.27,6,0,106.1,87.3,60.6,0,0,0.3,0,0,100,100,57,56,30,67.03,69.05,68.36,68.55,132.4,85.53,59.78
0,50,65.68,67.2,66.07,66.4,66.74,66.8,66.9,67,67.73,68.07,66.96,67.32,1.824,9.375,3.731,14.93,3.505,7.916,3.184,14.61,1.68E-45,12.32,4.80E-46,270.3,213.2,0,0,66.6,66.5,66.6,66.5,0,82.5,15.9,71.7,5.2,0,0,0,5.913,92.22,23.27,6,0,105.9,87.5,61.1,0,0.3,0.7,0,0,100,100,57,56,30,66.66,68.56,68.07,68.3,118.7,76.42,80.3
0,50,65.96,67,66.23,66.8,66.74,66.2,66.94,66.7,67.53,67.7,66.96,67.28,2.28,6.595,1.883,10.76,2.439,6.525,2.849,11.81,1.68E-45,8.574,6.90E-46,269.7,215.3,0.4,0,66.4,66.2,66.6,66.5,0,82.7,16.3,71.5,4.9,0.3,0,0,0.5573,6.952,23.27,6,0,105.7,87.5,62.1,0,0.1,0.2,0,0,100,100,57,56,30,66.21,68.07,67.99,68.06,85.35,68.37,113.1
0,50,66.17,67,66.4,66.8,66.78,66.7,66.94,66.7,67.37,67.53,66.88,67.24,1.82,4.754,1.883,8.457,2.069,4.314,3.209,9.592,1.68E-45,7.273,8.13E-46,269.7,214.9,0.4,0,66.4,66.2,66.6,66.5,0,82.7,16.3,71.7,5.1,0.3,0,0,0.8753,13.68,23.27,6,0,105.7,87.3,61.6,0,0,0.2,0,0,100,100,57,56,30,66.01,67.62,67.79,67.81,70.92,77.02,166.2
0,50,66.25,67.2,66.52,66.7,66.82,66.7,66.94,66.8,67.32,67.37,66.92,67.24,1.355,4.279,0.5007,6.134,2.416,3.552,2.821,8.789,1.68E-45,8.494,6.96E-46,268.8,213.2,0.1,0,66.6,66.5,66.6,66.5,0,82.8,16.2,71.7,5.1,0.1,0,0,3.731,78.32,23.27,6,0,105.7,87.3,61.1,0,0,0.5,0,0,100,100,57,56,30,65.92,67.29,67.62,67.73,75.34,67.7,183.5
0,50,66.41,67.3,66.56,67,66.82,66.7,66.94,66.7,67.2,67.25,66.96,67.24,1.352,2.898,0.4997,4.75,1.33,3.568,2.468,7.365,1.68E-45,4.676,1.26E-45,268.3,214.1,0.2,0,66.6,66.4,66.6,66.5,0,82.7,16.1,71.7,4.9,0,0,0,-0.07825,-1.646,23.27,6,0,105.5,87.5,62.1,0,0.1,0.5,0,0,100,100,57,56,30,65.88,67,67.62,67.65,62.24,59.22,182.6
0,50,66.58,67.2,66.73,66.8,66.86,66.8,66.98,66.8,67.16,67.12,66.96,67.24,1.357,1.992,0.4169,2.932,1.329,2.106,2.467,5.903,1.68E-45,4.673,1.27E-45,269.4,214.1,0.4,0.2,66.6,66.4,67,67,0,82.8,16.2,71.7,4.5,0.6,0,0,-0.09897,-2.074,23.27,6,0,105.7,87.3,62.1,0,0,0.2,0,0,100,100,57,56,30,66.05,66.88,67.58,67.6,47.8,59.21,218.9
0,50,66.66,67.3,66.81,67,66.86,67,66.94,66.8,67.16,67.12,67,67.28,0.9023,2.462,0.4188,2.945,1.341,1.757,2.491,5.589,1.68E-45,4.717,1.25E-45,270.6,216.1,0.4,0,66.6,66.5,66.6,66.5,0,82.8,16.2,71.5,4.9,0,0,0,1.201,34.15,23.27,6,0,105.9,87.5,62.1,0,0,0.2,0,0,100,100,57,56,30,66.33,66.76,67.54,67.6,59.08,59.78,228.5
0,50,66.78,67.5,66.89,67,66.94,67,66.98,66.8,67.12,67.08,67.04,67.28,0.4401,1.538,0.4191,1.559,0.9684,1.382,2.111,4.461,1.68E-45,3.405,1.68E-45,270.4,215,0.4,0.2,66.8,66.7,67,67,0,83,16.2,71.7,4.7,0.3,0,0,0,0,23.27,6,0,105.9,87.5,62.1,0,0,0.3,0,0,100,100,57,56,30,66.7,66.8,67.54,67.6,36.92,50.67,237.3
0,50,66.86,67.5,66.97,67,66.94,66.8,67.02,67,67.12,67.08,67.08,67.32,0.8929,1.067,0.4151,1.544,0.9737,1.019,2.122,4.115,1.68E-45,3.424,1.68E-45,267.8,216.1,0.4,0,66.8,66.7,67,67,0,82.8,16.2,71.7,4.7,0.3,0,0,0,0,23.27,6,0,105.9,87.5,62.1,0,0.2,0.3,0,0,100,100,57,56,30,66.78,66.88,67.54,67.56,25.6,50.93,243.4
0,50,66.9,67.5,67.01,67.2,66.99,67,67.02,67,67.12,67.08,67.13,67.36,0.4368,1.069,0.4159,1.09,0.9684,1.013,2.111,4.092,1.68E-45,3.405,1.68E-45,268.3,214.9,0.4,0,66.9,66.7,66.6,66.5,0,83,16.2,71.7,4.9,0.3,0,0,0,0,23.27,6,0,106.1,87.3,62.1,0,0,0.3,0,0,100,100,57,56,30,66.5,66.96,67.54,67.56,25.65,50.65,244
0,50,66.99,67.3,67.09,67.2,67.03,67,67.07,67,67.16,67.12,67.17,67.36,0.44,1.076,0.4183,1.098,0.9636,0.6445,1.736,3.344,1.68E-45,3.388,1.68E-45,270.3,214,0.5,0,66.8,66.7,66.6,66.5,0,83,16.2,71.7,4.9,0.3,0,0,0,0,23.27,6,0,106.1,87.5,62.1,0,0,0,0,0,100,100,57,56,30,65.84,66.92,67.58,67.56,23.99,41.67,254.8
0,50,67.07,67.5,67.14,67.2,67.07,67,67.07,67.2,67.16,67.08,67.25,67.4,-0.02108,1.064,0.87,0.1731,0.5992,1.009,1.371,2.98,1.68E-45,2.107,1.68E-45,267.4,214,0.4,0,66.8,66.7,67,67,0,83.2,16.2,71.5,4.7,0,0,0,0,0,23.27,6,0,106.5,87.5,62.1,0,0.2,0.3,0,0,100,100,57,56,30,65.19,66.76,67.58,67.56,16.29,32.91,243.2
0,50,67.11,67.5,67.18,67.3,67.07,67,67.11,67.2,67.12,67.12,67.25,67.44,0.4385,0.1535,0.04214,0.6341,0.5966,0.6419,1.731,2.969,1.68E-45,2.098,1.68E-45,269.4,213.3,0.5,0,66.8,66.7,67,67,0,83.2,16.4,71.7,4.5,0,0,0,0,0,23.27,6,0,106.5,87.3,62.1,0,0.4,0.3,0,0,100,100,57,56,30,64.57,66.51,67.62,67.6,1.902,41.54,254
0,50,67.15,67.5,67.22,67.2,67.07,67,67.11,67,67.08,67.12,67.25,67.44,0.4383,0.3068,0.5023,0.6338,0.6038,0.2813,1.751,2.637,1.68E-45,2.123,1.68E-45,269.3,215.8,0.5,0,66.8,66.7,66.6,66.5,0,83,16.2,71.5,4.7,0,0,0,0,0,23.27,6,0,106.5,87.3,62.1,0,0.2,0.2,0,0,100,100,57,56,30,63.92,66.22,67.62,67.6,3.195,42.04,262.5
0,50,67.19,67.5,67.26,67.3,67.07,66.8,67.11,66.8,67.08,67.04,67.29,67.48,0.44,0.308,0.4184,-0.2864,0.602,0.2816,1.746,2.629,1.68E-45,2.117,1.68E-45,270.4,215.2,0.4,0,66.6,66.7,66.6,66.5,0,83,16.4,71.7,4.9,0,0,0,0,0,23.27,6,0,106.7,87.5,62.1,0,0,0.3,0,0,100,100,57,56,30,63.3,65.9,67.62,67.6,2.853,41.9,263.6
0,50,67.23,67.5,67.26,67.2,67.03,67,67.11,66.8,67.04,67.04,67.29,67.48,0.8995,0.7671,0.0422,0.1746,0.2373,0.2846,1.765,2.286,1.68E-45,0.8343,1.68E-45,269.8,217.5,0.5,0.2,66.8,66.7,67,67,0,82.8,16.2,71.5,4.5,0.3,0,0,0,0,23.27,6,0,107.1,87.3,62.1,0,0,0.2,0,0,100,100,57,56,30,62.89,65.65,67.62,67.6,6.682,42.35,263
0,50,67.23,67.5,67.26,67.3,66.99,66.7,67.07,66.8,67,67.04,67.29,67.48,0.8985,0.7669,0.5027,0.6343,0.2346,0.2813,1.744,2.26,1.68E-45,0.8247,1.68E-45,269.5,215,0.7,0,66.6,66.5,66.6,66.5,0,83,16.2,71.7,4.9,0.5,0,0,0,0,23.27,6,0,107.1,87.5,61.1,0,0.1,0.2,0,0,100,100,57,56,30,62.4,65.4,67.62,67.6,6.134,41.86,262.8
0,50,67.23,67.3,67.3,67.2,66.99,66.7,67.07,66.8,66.91,66.96,67.29,67.48,0.9,1.689,0.5036,-0.2853,0.5993,-0.08573,1.736,2.25,1.68E-45,2.107,1.68E-45,270,214,0.5,0.2,66.6,66.7,66.6,66.5,0,82.8,16.2,71.5,4.9,0.6,0,0,0,0,23.27,6,0,107.3,87.5,61.1,0,0,0,0,0,100,100,57,56,30,61.99,65.12,67.62,67.6,12.98,41.67,267.9
0,50,67.23,67.5,67.3,67.3,66.94,66.7,67.02,66.7,66.87,66.92,67.33,67.44,0.9019,1.692,0.5039,-0.2865,0.6035,0.2815,1.013,1.898,1.68E-45,2.122,1.68E-45,270.5,215.5,0.6,0,66.6,66.5,66.6,66.5,0,82.8,16.2,71.7,5.1,0.6,0,0,0,0,23.27,6,0,107.5,87.5,62.1,0,0,0.3,0,0,100,100,57,56,30,61.67,64.91,67.62,67.6,12.51,24.31,263.8
0,50,67.23,67.5,67.3,67.3,66.9,66.7,67.02,66.7,66.83,66.88,67.29,67.44,1.356,2.142,0.5019,-0.2843,0.6032,-0.08629,1.38,1.897,1.68E-45,2.121,1.68E-45,269.1,215.4,0.6,0,66.6,66.4,66.3,66,0,82.7,16.1,71.5,5.1,0.6,0,0,-1.253,-26.27,23.27,6,0,107.7,87.5,61.6,0,0.2,0.3,0,0,100,100,57,56,30,61.34,64.71,67.62,67.6,15.26,33.12,267
0,50,67.27,67.3,67.26,67.2,66.86,66.7,66.98,66.8,66.75,66.84,67.29,67.44,1.357,2.603,0.9605,-0.2859,0.1322,0.2811,1.376,1.525,1.68E-45,0.4649,1.68E-45,269.3,214.8,0.6,0.3,66.6,66.4,66.6,67,0,82.5,15.9,71.7,5.1,0.6,0,0,-1.254,-26.29,23.27,6,0,107.7,87.5,61.1,0,0.3,0.1,0,0,100,100,57,56,30,61.05,64.5,67.58,67.56,18.1,33.03,262.5
0,50,67.27,67.3,67.3,67.3,66.86,66.5,66.9,66.7,66.71,66.8,67.29,67.44,0.4383,2.144,0.9605,-0.7454,0.234,-0.0857,1.371,1.519,1.68E-45,0.8226,1.68E-45,269.3,213.9,0.8,0,66.4,66.2,66.6,66.5,0,82.3,15.7,71.5,5.2,0.1,0,0,0,0,23.27,6,0,108.2,87.5,61.1,0,0.2,0.1,0,0,100,100,57,56,30,60.85,64.38,67.58,67.56,14.57,32.89,267.2
0,50,67.23,67.3,67.26,67,66.78,66.5,66.9,66.5,66.67,66.75,67.25,67.4,1.364,2.616,0.9656,-0.2866,0.2367,-0.08688,1.39,1.54,1.68E-45,0.8321,1.68E-45,270.5,216.9,0.8,0.1,66.4,66.2,66.6,66.5,0,82.2,15.6,71.5,5.1,0.3,0,0,-1.279,-26.67,23.27,6,0,108.4,87.3,62.1,0,0,0.1,0,0,100,100,57,56,30,60.64,64.18,67.58,67.52,17.77,33.36,268.5
0,50,67.23,67.3,67.22,67.2,66.78,66.5,66.9,66.7,66.63,66.71,67.25,67.36,1.36,3.07,0.9638,-0.7463,0.1321,0.2809,1.014,1.163,1.68E-45,0.4645,1.68E-45,269.8,215.5,0.8,0,66.4,66.2,66.3,66.5,0,82,15.6,71.7,5.2,0.3,0,0,-1.266,-26.47,23.27,6,0,108.4,87.3,62.1,0,0.3,0.1,0,0,100,100,57,56,30,60.48,64.05,67.58,67.52,20.62,24.34,263.1
0,50,67.23,67.3,67.26,67.2,66.74,66.5,66.82,66.5,66.63,66.67,67.25,67.36,0.9,2.15,0.5035,-0.7466,0.2357,-0.08653,1.016,1.166,1.68E-45,0.8287,1.68E-45,269.9,216,0.8,0.1,66.3,66.1,66.6,66.5,0,81.7,15.3,71.7,5.1,0,0,0,0,0,23.27,6,0,108.8,87.5,62.1,0,0,0.1,0,0,100,100,57,56,30,60.36,63.97,67.5,67.52,14.27,24.39,267.9
0,50,67.23,67.3,67.22,67,66.7,66.4,66.82,66.5,66.51,66.63,67.25,67.32,1.363,3.538,1.427,-0.7488,0.1327,0.2822,0.6493,0.7988,1.68E-45,0.4666,1.68E-45,270.5,216.5,0.9,0,66.3,66.1,66,65.6,0,81.7,15.3,71.7,5.5,0,0,0,-1.275,-26.62,23.27,11,0,108.8,87.5,61.1,0,0.1,0.1,0,0,100,100,57,56,30,60.23,63.85,67.5,67.48,23.49,15.58,263.7
0,50,67.19,67.2,67.18,67,66.66,66.5,66.78,66.5,66.46,66.59,67.17,67.32,1.367,3.548,1.431,-0.7491,0.1326,-0.08663,1.386,1.167,1.68E-45,0.4661,1.68E-45,271.1,216.3,0.5,0,66.3,66.1,66.6,65.6,0,81.3,14.9,71.7,5.1,0,0,0,-1.291,-26.86,23.27,11,0,109,87.3,61.6,0,0,0.4,0,0,100,100,57,56,30,60.11,63.77,67.5,67.48,23.29,33.27,269
0,50,67.19,67.2,67.18,67,66.62,66.2,66.74,66.4,66.42,66.55,67.17,67.28,1.357,3.523,1.421,-0.745,0.1314,-0.08586,1.008,0.7908,1.68E-45,0.4619,1.68E-45,269.4,214.4,0.8,0.2,66.3,66.1,66.6,66.5,0,81.2,14.9,71.8,6,0,0,0,-1.255,-26.31,23.27,11,0,109.4,87.5,61.1,0,0.2,0.2,0,0,100,100,57,56,30,59.99,63.68,67.46,67.44,22.87,24.19,267.3
0,50,67.15,67.2,67.14,67,66.58,66.2,66.7,66.4,66.38,66.51,67.13,67.28,1.357,3.52,1.42,-0.7435,0.1327,-0.08638,1.382,1.163,1.68E-45,0.4666,1.68E-45,269.1,215.7,0.8,0,66.2,65.9,66,65.6,0,81,14.8,72,5.8,0,0,0,-1.255,-26.31,23.27,15,0,109.2,87.3,83.4,15,0,0.5,0,0,100,100,57,56,30,59.91,63.64,67.42,67.4,22.6,33.17,267
0,50,67.15,67.2,67.14,67,66.53,66.2,66.66,66.4,66.34,66.47,67.08,67.24,1.36,3.531,1.424,-0.7473,0.1326,-0.4539,1.38,0.7936,1.68E-45,0.4662,1.68E-45,270,215.4,0.8,0,66.2,65.9,66,65.6,0,80.8,14.6,71.8,6,0,0,0,-1.266,-26.47,23.27,15,0,109.6,87.5,137.5,70.3,0.3,0.2,0,0,100,100,57,56,30,59.82,63.52,67.42,67.4,22.92,33.12,259.1
